id,pm25,pm10,so2,no,o3
726,6.0,23.2,,,
727,,8.8,,,
728,,7.0,,,
729,4.1,14.5,,,
730,5.0,26.4,,,
731,3.2,8.7,,,28.8
732,13.0,69.0,,1.0,62.0
733,13.0,69.0,,1.0,62.0
734,,44.0,,4.0,
735,,,,,103.8
736,3.4,5.6,1.2,16.9,52.5
737,11.99,,,,
738,13.99,,,,
739,11.4,,,,
740,11.87,,,,
741,15.96,,,,
742,16.19,,,,
743,12.69,,,,
744,12.21,,,,
745,16.01,,,,
746,11.68,,,,
747,14.63,,,,
748,8.47,,,,
749,12.27,,,,
750,13.72,,,,
751,3.8,,,,
752,11.57,,,,
753,13.86,,,,
754,8.8,,,,
755,11.85,,,,
756,18.05,,,,
757,12.13,,,,
758,9.89,,,,
759,5.26,,,,
760,13.59,,,,
761,13.01,,,,
762,11.19,,,,
763,12.25,,,,
764,10.52,,,,
765,11.93,,,,
766,16.96,,,,
767,16.78,,,,
768,12.27,,,,
769,15.0,,,,
770,15.61,,,,
771,12.97,,,,
772,9.72,,,,
773,10.51,,,,
774,11.1,,,,
775,15.42,,,,
776,13.47,,,,
777,11.0,,,,
778,16.24,,,,
779,12.85,,,,
780,9.61,,,,
781,12.12,,,,
782,13.11,,,,
783,10.21,,,,
784,18.14,,,,
785,15.19,,,,
786,14.01,,,,
787,4.42083336909612,4.5041666229565935,,,
788,5.088095208009084,5.214434504508972,,,
789,,,-1.0,1.68015456,-1.0
790,,,4.51885604,0.67345845,-1.0
791,,8.0,4.0,,
792,,8.0,,,38.0
793,,9.0,4.0,,
794,,,3.0,,53.0
795,11.880208333333334,12.244940519332886,,,
796,9.699999968210856,10.087499936421713,,,
797,2.4,6.0,2.3,,42.0
798,,,,,
799,3.1,13.0,0.5,,39.5
800,,,,,
801,6.7,11.9,,,
802,,,,,
803,,,,,
804,4.75,6.5,,,37.0
805,,,,,
806,0.6,3.0,,,41.0
807,4.45,8.5,4.15,,47.5
808,,,,,
809,,,,,
810,,,,,
811,,,,,
812,3.1,13.0,0.5,,39.5
813,,,,,
814,,,,,
815,,,,,
816,4.45,8.5,4.35,,47.5
817,0.6,3.0,,,41.0
818,,,,,
819,6.7,8.5,,,37.0
820,,,,,
821,,,,,
822,,,,,
823,,,,,
824,,,,,
825,,,,,
826,4.95,9.65,,,
827,,,,,
828,11.385416587193808,12.194047689437866,,,
829,11.647321383158364,12.568452517191568,,,
830,12.122321367263794,12.383482217788696,,,
831,,,,,
832,,,,,
833,,,3.8,,
834,12.25,16.0,,,32.0
835,11.8,16.0,,,32.0
836,9.75,15.0,2.5,,25.5
837,,,,,
838,11.45,17.0,5.15,,32.0
839,,,,,12.0
840,,,,,
841,,4.0,10.0,,19.5
