location name,lat,lon,day,time,pm2.5,pm10,so2,no2,o3,co,no,nox
London Marylebone Road,51.52253,-0.154611,2024-09-02,14:00:00+00:00,13.0,23.0,2.0,41.0,19.0,200.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-02,13:00:00+00:00,13.0,23.0,2.0,50.0,18.0,100.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-02,12:00:00+00:00,15.0,24.0,,43.5,32.2,200.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-02,11:00:00+00:00,14.0,24.0,,41.6,24.5,200.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-02,10:00:00+00:00,14.0,25.0,,34.6,29.0,100.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-02,09:00:00+00:00,14.0,24.0,,40.5,29.0,100.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-02,08:00:00+00:00,14.0,25.0,2.0,24.0,29.0,100.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-02,07:00:00+00:00,14.0,25.0,2.0,24.0,27.0,100.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-02,06:00:00+00:00,14.0,24.0,2.0,24.0,25.0,100.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-02,05:00:00+00:00,15.0,25.0,1.0,15.0,24.0,0.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-02,04:00:00+00:00,15.0,25.0,1.0,14.0,23.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-02,03:00:00+00:00,15.0,26.0,1.0,15.0,25.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-02,02:00:00+00:00,15.0,27.0,2.0,14.0,26.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-02,01:00:00+00:00,16.0,28.0,2.0,32.0,27.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-02,00:00:00+00:00,16.0,28.0,2.0,44.0,31.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-01,23:00:00+00:00,,,0.9,40.0,21.8,200.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-01,22:00:00+00:00,15.0,27.0,2.0,57.0,44.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-01,21:00:00+00:00,15.0,27.0,2.0,49.0,52.0,-100.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-01,20:00:00+00:00,14.0,27.0,2.0,47.0,57.0,-100.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-01,19:00:00+00:00,14.0,26.0,2.0,45.0,59.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-01,18:00:00+00:00,14.0,26.0,1.0,44.0,59.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-01,17:00:00+00:00,14.0,26.0,1.0,47.0,59.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-01,16:00:00+00:00,14.0,26.0,1.0,33.0,56.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-01,15:00:00+00:00,13.0,27.0,1.0,31.0,52.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-01,14:00:00+00:00,,,0.8,28.5,75.6,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-01,13:00:00+00:00,13.0,27.0,0.7,20.0,75.8,,,
London Marylebone Road,51.52253,-0.154611,2024-09-01,12:00:00+00:00,13.0,27.0,0.6,19.8,,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-01,11:00:00+00:00,13.0,27.0,0.6,12.2,35.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-01,10:00:00+00:00,13.0,27.0,0.6,15.3,35.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-01,09:00:00+00:00,13.0,27.0,1.0,7.0,35.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-01,08:00:00+00:00,13.0,27.0,1.0,7.0,36.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-01,07:00:00+00:00,13.0,26.0,1.0,7.0,38.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-01,06:00:00+00:00,14.0,26.0,1.0,5.0,42.0,-400.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-01,05:00:00+00:00,13.0,26.0,1.0,3.0,45.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-01,04:00:00+00:00,13.0,26.0,1.0,7.0,47.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-01,03:00:00+00:00,13.0,26.0,1.0,5.0,50.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-01,02:00:00+00:00,13.0,25.0,1.0,5.0,52.0,-400.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-01,01:00:00+00:00,14.0,25.0,1.0,7.0,54.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-09-01,00:00:00+00:00,13.0,24.0,1.0,9.0,54.0,-400.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-31,23:00:00+00:00,,,0.2,8.6,59.7,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-31,22:00:00+00:00,13.0,23.0,1.0,17.0,53.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-31,21:00:00+00:00,13.0,23.0,1.0,20.0,53.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-31,20:00:00+00:00,13.0,23.0,1.0,15.0,52.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-31,19:00:00+00:00,13.0,23.0,1.0,21.0,52.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-31,18:00:00+00:00,12.0,23.0,1.0,21.0,51.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-31,17:00:00+00:00,12.0,23.0,1.0,25.0,50.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-31,16:00:00+00:00,12.0,23.0,1.0,30.0,49.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-31,15:00:00+00:00,12.0,23.0,1.0,16.0,49.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-31,14:00:00+00:00,12.0,23.0,1.0,11.0,47.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-31,13:00:00+00:00,12.0,22.0,1.0,21.0,45.0,-300.0,,
